dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,angiosperm,Felicia,amelloides,Felicia amelloides,,,,PlantZA,http://www.plantzafrica.com/plantefg/felicamell.htm,"coastal strip of both the Western and Eastern Cape Provinces, mainly from Humansdorp to Port Alfred. It has been recorded from as far west as the De Hoop-Potberg Nature Reserve and it reaches the Kei River mouth to the east. The furthest inland it extends seems to be to the Vanstadensberg and Winterhoek Mountains near Port Elizabeth and Uitenhage, and the Ecca Pass, near Grahamstown. For a long time it was thought that this felicia occurs in the Cape Peninsula. This was because of confusion with other species such as F. aethiopica, which has closely similar flowers but alternate leaves. The habitat of F. amelloides ranges in altitude from 0-1 000 m.",,excl.points,,,,,,21,28.2,,-30,AH,,Terrestrial,,,,,,,,,,,,-5.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Felicia,amelloides,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,696374,,,
plants,angiosperm,Ficaria,verna,Ficaria verna,,,,map from wikipedia ref,http://linnaeus.nrm.se/flora/di/ranuncula/ranun/ranuficv.jpg,"erope & asia, not N Am (see map)",should go almost to top of norway and across very top of north africa - missing both,remove,missing N RL (almost top of Norway) & S RL (very top of N Africa),,,,,-11,,,,AH,,Terrestrial,,42.8,LT50,,,,,,,Bilger et al 1984,3,,,,,,,,,,,,,C, Botanical garden Wurburg  ,,Ficafia,verna,Plantae,Streptophyta,stem eudicotyledons,Ranunculales,Ranunculaceae,79245,genus updated unranked level used,,
plants,angiosperm,Gentiana,divisa,Gentiana divisa,,,collection point outside range,NZ plant conservatino network,http://m.nzpcn.org.nz/flora_details.aspx?ID=1927,"NZ Endemic. South Island, from Canterbury south along the main divide into Fiordland",,fine,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-12.9,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Gentiana,divisa,Plantae,Streptophyta,Pentapetalae,Gentianales,Gentianaceae,NA,used unranked level Pentapetalae,,now genus = Gentianella
plants,angiosperm,Geranium,robertianum,Geranium robertianum,,,,wikipedia,,"Europe from the north Mediterranean coast to the Baltic and from the British Isles in the west to the Caucasus in the east.[4] It has been introduced into many other temperate parts of the world.  Cant find more presice description of northern RL in scandanavia, so assume correct",assume fine,excl.points,,,,,,-10,,41,,AH,,Terrestrial,,41.9,LT50,,,,,,,Bilger et al 1984,3,,,,,,,,,,,,,C, Botanical garden Wurburg  ,,Geranium,robertianum,Plantae,Streptophyta,Pentapetalae,Geraniales,Geraniaceae,122183,unranked level used,,
plants,angiosperm,Grevillea,rosmarinifolia,Grevillea rosmarinifolia,,,,Australia native plants society,http://anpsa.org.au/g-ros.html,"Australia endemic: Woodland, mallee and shrubland from the central west of New South Wales to central and western Victoria (see map)",,excl.points,,,,,,140,,,-30.5,AH,,Terrestrial,,,,,,,,,,,,-8.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Grevillea,rosmarinifolia,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,1034068,,,
plants,angiosperm,Grevillea,speciosa,Grevillea speciosa,,,,Australia native plants society,http://anpsa.org.au/grev1a.html,Australian endemic - moist forests around sydney,excl points far from syndey,excl.points,,,,,,150,,,,AH,,Terrestrial,,,,,,,,,,,,-4.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Grevillea,speciosa,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,NA,,,
plants,angiosperm,Greyia,sutherlandii,Greyia sutherlandii,,,,PlantZA,http://www.plantzafrica.com/plantefg/greyiasuther.htm,"slopes and rocky ridges of the Drakensberg up to an altitude of about 1 800 m, in the Eastern Cape, the eastern Free State, KwaZulu-Natal, Swaziland and eastern Gauteng",excl points in western cape,excl.points,,,,,,24,,,,AH,,Terrestrial,,,,,,,,,,,,0.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Greyia,sutherlandii,Plantae,Streptophyta,Pentapetalae,Geraniales,Melianthaceae,1167264,,,
plants,angiosperm,Griselinia,littoralis,Griselinia littoralis,,,,Dawson & King 1966,http://nzetc.victoria.ac.nz/tm/scholarly/tei-Bio14Tuat03-t1-body-d2.html,"NZ endemicdistributed throughout the North and South Islands with the addition of Stewart Island, but is more common in the south and at higher altitudes.",,country.codes,,,NZ,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-7.8,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Griselinia,littoralis,Plantae,Streptophyta,Pentapetalae,Apiales,Griseliniaceae,86852,used unranked level Pentapetalae,,
plants,angiosperm,Griselinia,racemosa,Griselinia racemosa,,,,Munoz etal (2003) (not super helpful); wikipedia (no ref),https://en.wikipedia.org/wiki/Griselinia,"southern Chile (Los Lagos, Ais_n) and adjacent Argentina (western Chubut)",,fine,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Griselinia,racemosa,Plantae,Streptophyta,Pentapetalae,Apiales,Griseliniaceae,140583,,,
plants,angiosperm,Hakea,salicifolia,Hakea salicifolia,,,,Australian Native Plants Society,http://anpsa.org.au/h-sal.html,Australian endemic: Open forests of eastern New South Wales and the extreme south east of Queensland.,excl points outside map given by ref EXCL ISLAND POINT,country.codes,,,AU,,,149.5,155,-36,-25,AH,,Terrestrial,,,,,,,,,,,,-4.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Hakea,salicifolia,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,795997,,,
plants,angiosperm,Halleria,lucida,Halleria lucida,,,,PlantZA; flora of zimbabwe; flora of mozambique; flora of south sudan-uganda border lists it,http://www.plantzafrica.com/planthij/hallerialucida.htm; http://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=151010; http://www.mozambiqueflora.com/speciesdata/species.php?species_id=151010,"from the Cape peninsula in the south in a strip up the eastern coast of South Africa, through the Eastern Cape to Lesotho, the eastern Free State, KwaZulu-Natal and Swaziland where it turns inland and roughly follows the escarpment into Mpumalanga, Gauteng and the Northern and North West Province. It also occurs in isolated pockets in Zimbabwe.  Floral of Zim has very different description: From Yemen south through Ethiopia to South Africa in Zim W,C,E,S.  Flora of MZ says Z,MS (presumably means states of Zambezia and ... not sure what MS would stand for","have no points in Zim, but could include the records for Mozambique which would extend polygon into Zimbabwe. = african honeysuckle, assume pionts northward in africa = naturalized from gardens?",remove,conflicting range descriptions,"Safrica, Zimbabwe, Lesotho, Swaziland",ZA;LS;SZ;ZW;MZ,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Halleria,lucida,Plantae,Streptophyta,Pentapetalae,Lamiales,Stilbaceae,68866,,,
plants,gymnosperm,Halocarpus,biformis,Halocarpus biformis,,,,IUCN,http://www.iucnredlist.org/details/42479/0,"IUCN:Endemic to New Zealand occurring on North Island, South Island, and Stewart Island. The extent of occurrence and area of occupancy are both in excess of the thresholds for any threatened category.",,fine,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-9,LT50,,0.0835,FF,-42.72,171.57,150,Cieraad et al 2012,1,,,W,Foliage   ,,Halocarpus,biformis,Plantae,Streptophyta,Pinidae,Araucariales,Podocarpaceae,120592,subclass used,,
plants,angiosperm,Hazardia,squarrosa,Hazardia squarrosa,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Hazardia+squarrosa,native to California and is found only slightly beyond (south of) California borders.,,excl.points,,,,666189590 1021567812  225203940,,,,30.5,38,AH,,Terrestrial,,55.7,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Hazardia,squarrosa,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,71055,unranked level used,,
plants,angiosperm,Hebe,odora,Hebe odora,,,,Hebe society,http://www.hebesoc.org/hebes/hebes_o/hebe_odora/hebe_odora.htm,"subalpine areas in North Island, South Island, Stewart Island and Auckland Island, New Zealand",,country.codes,,,NZ,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-7.7,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Hebe,odora,Plantae,Streptophyta,Pentapetalae,Lamiales,Plantaginaceae,74682,used unranked level Pentapetalae,,
plants,angiosperm,Hectorella,caespitosa,Hectorella caespitosa,,,,Hebe society,http://www.hebesoc.org/nz_plants/nz_plants_h/hectorella_caespitosa/hectorella_caespitosa.htm,"Hectorella caespitosa is found in high alpine fellfields and cushion vegetation southwards from Arthurês Pass, South Island, New Zealand.",,country.codes,,,NZ,,,,,,-42.5,AH,,Terrestrial,,,,,,,,,,,,-12.6,LT50,,0.083,FF,-44.9,169.1,1520,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Hectorella,caespitosa,Plantae,Streptophyta,Pentapetalae,Caryophyllales,Montiaceae,340213,unranked level used,,
plants,angiosperm,Hedera,helix,Hedera helix,,,,kew,http://www.kew.org/science-conservation/plants-fungi/hedera-helix-common-ivy,"ivy: native to western, central and southern Europe. Its distribution extends from southern Scandinavia (Norway and Sweden) in the north to Latvia and the Ukraine in the east and southeast to Bulgaria, western Turkey, Greece (including Crete) and Cyprus. It is found up to about 515 m above sea level. (invasive elsewhere)","missing southern RL - no points in greece, cyprus, or turkey",remove,"missign S RL (greece,turkey)",,,,,,,,,AH,,Terrestrial,,46.3,LT50,,,,,,,Bilger et al 1984,3,,,,,,,,,,,,,C, Botanical garden Wurburg  ,,Hedera,helix,Plantae,Streptophyta,Pentapetalae,Apiales,Araliaceae,4052,unranked level used,,
plants,angiosperm,Heimia,myrtifolia,Heimia myrtifolia,,,,NA,Na,"wiki: The genus contains three species,  native to the Americas, from northern Argentina north to the southernmost United States (southern Texas).. They are similar to the extent that expert knowledge is required to differentiate between specimens of the different species",no good range data available,remove,no good range data,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-8.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Heimia,myrtifolia,Plantae,Streptophyta,Pentapetalae,Myrtales,Lythraceae,135798,,,
plants,angiosperm,Helichrysum,petiolare,Helichrysum petiolare,,,,PlantZA,http://www.plantzafrica.com/planthij/helichryspet.htm,"endemic to SA: drier inland parts, sheltered slopes and forest margins of the Western Cape (Cederburg and Jonkershoek Mountains), Eastern Cape and Kwazulu-Natal.",,country.codes,,S Africa,ZA,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-4.3,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Helichrysum,petiolare,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,261796,,,
plants,angiosperm,Helleborus,foetidus,Helleborus foetidus,,,,Flora Europea + country websites,http://ebd06.ebd.csic.es/organisms/hfoetidus/hfoetidus.html; https://commons.wikimedia.org/wiki/File:Helleborus_foetidus_-_Distribution_%28Italy%29.PNG,"FloraE: endemic to europe: W. Europe, extending northwards to N. England and eastwards to S. Italy and C. Germany.  widely distributed in western Europe. Native to UK, Italy (all the way S to toe of the boot), Iberian Peninsula",Doesnêt go far enough S in italy but otherwise looks good and points in Spain will fix S RL,excl.points,,,BE;BL;BR;CO;GA;GE;HE;HS;IT;LU;SI,,,-10,19,37.5,,AH,,Terrestrial,,47.7,LT50,,,,,,,Bilger et al 1984,3,,,,,,,,,,,,,C, Botanical garden Wurburg  ,,Helleborus,foetidus,Plantae,Streptophyta,stem eudicotyledons,Ranunculales,Ranunculaceae,46996,unranked level used,,
plants,angiosperm,Heteromeles,arbutifolia,Heteromeles arbutifolia,,,,Calflora; wikipedia range map (but missing oregon?),http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=4140; https://en.wikipedia.org/wiki/Heteromeles#/media/File:Heteromeles_arbutifolia_range_map.jpg,native to California and is found only slightly beyond California borders.,outlier points in S Baja represent real disjunt pops - exclude points outside main Cali-Baja range (points on islands will be resolve in making polygon),excl.points,,,,,,-125,-109,22,45,AH,,Terrestrial,,56.5,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Heteromeles,arbutifolia,Plantae,Streptophyta,Pentapetalae,Rosales,Rosaceae,36612,unranked level used,,
plants,moss,Hypnum,cupressiforme,Hypnum cupressiforme,,,,wikipedia,https://en.wikipedia.org/wiki/Hypnum_cupressiforme,ound in all continents except Antarctica and occurs in a wide variety of habitats and climatic zones.,,remove,missing S RL (Africa),,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-29.8,LT50,,,,51,6.8,50,Rôtten & Santarius 1992,1,,,W,50% irreversible inactivation of the net photosynthetic capacity of the plants    ,,Hypnum,cupressiforme,Plantae,Streptophyta,Bryopsida,Hypnales,Hypnaceae,53011,,,
plants,lichen,Hypogymnia,physodes,Hypogymnia physodes,,,,Consortium of N Am lichen herbaria; URBANAVICHUS (2013) Lichesn of Dagestan,http://lichenportal.org/portal/taxa/index.php?taxon=54412,"circumpolar arctic, boreal, and montane; northern Asia, North America, and Europe; throughout northern North America, south in California to about Santa Cruz and S throughout the Appalachian and Rocky Mountains ","found at least as far south as noth-east caucasus, gbif points fall short of that",remove,mising large chuncks of range (eg Caucasus),,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-13.6,ctmin,,,,49.6,9,,Lange 1965,2,,,W,CTMIN= temp at which they no longer intake co2   ,,Hypogymnia,physodes,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,87259,,,
plants,angiosperm,Impatiens,parviflora,Impatiens parviflora,,,,Online atlas of the British & Irish flora,https://www.brc.ac.uk/plantatlas/index.php?q=plant/impatiens-parviflora,"Native of C. Asia; widely naturalised in temperate Europe, all European populations possibly originating from a single introduction.",no pionts from native range,remove,no gbif coverage in native range (C Asia),,,,,,,,,AH,,Terrestrial,,39.8,LT50,,30,0.7,,,,Bilger et al 1984,1,,,,,,,,,,,,,W,Foliage   ,,Impatiens,parviflora,Plantae,Streptophyta,Pentapetalae,Ericales,Balsaminaceae,191132,unranked level used,,
plants,angiosperm,Isocoma,acradenia,Isocoma acradenia,,,,Flora of North America; Nesom 1991 (see screen shot),http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250067007; http://www.biodiversitylibrary.org/page/12981103#page/6/mode/1up,"sw United States, nw Mexico.",see map from Nesom - get rid of outlier in N/C Cali & E MX (keep outlying point in sonora),excl.points,,,,,,,-106,27,38,AH,,Terrestrial,,56.4,tmax,,FF,,43.04,-73,760,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Isocoma,acradenia,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,147779,unranked level used,,
plants,angiosperm,Isocoma,menziesii,Isocoma menziesii,,,,wikipedia gives specific refs for each subsp,https://en.wikipedia.org/wiki/Isocoma_menziesii,,"california, baa california, baja cal sur",fine,,,,,,,,,,AH,,Terrestrial,,52.9,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Isocoma,menziesii ,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,147781,unranked level used,,
plants,angiosperm,Kunzea,ericoides,Kunzea ericoides,,,,de Lange (2014),pdf,Australia & NZ.  Nzpcn says Endemic. New Zealand: Northern South Island only - north of the Buller and Wairau Rivers. Most common in North West Nelson.,sp complex split into 10 spp,remove,sp split into 10 in 2014  - gbif likely confuse them,,AU;NZ,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-7.5,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Kunzea,ericoides,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,106044,used unranked level Pentapetalae,,
plants,angiosperm,Lapageria,rosea,Lapageria rosea,,,,wikipedia range map from Chilean flora guidebook,https://commons.wikimedia.org/wiki/File:Lapageria_rosea_range_map.png,"national flower of Chile: forests in southern part of Chile, part of Valdivian temperate rain forest flora (roughly 37ç to 48ç south latitude)",doesnêt extend far enough north,remove,missing N RL,Chile,CL,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Lapageria,rosea,Plantae,Streptophyta,Liliopsida,Liliales,Smilacaceae,4707,,,
plants,angiosperm,Larrea,tridentata,Larrea tridentata,,,check sampling location,Duran etal (2005) AJB,pdf,"anges from Quanajuato, Central Mexico, northward to New Mexico, USA, and from Texas westward to Nevada and California. Its elevational distribution ranges from sea level to 1600 m above sea level ",remove outliers & S Am pops - check smpaling location though,country.codes,,,US;MX,,,,-97.5,18,40,AH,,Terrestrial,,71.5,tmax,,FF,,43.04,-73,760,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Larrea,tridentata,Plantae,Streptophyta,Pentapetalae,Zygophyllales,Zygophyllaceae,66636,unranked level used,,
plants,angiosperm,Lepechinia,calycina,Lepechinia calycina,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Lepechinia+calycina,endemic to california,remove points outside CA,country.codes,,,US,,,,-110,,,AH,,Terrestrial,,52.7,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Lepechinia,calycina,Plantae,Streptophyta,Pentapetalae,Lamiales,Lamiaceae,268880,unranked level used,,
plants,lichen,Letharia,vulpina,Letharia vulpina,,,,The threatened macrolichen project; Brodo etal Lichens of N Am - has range map!),http://nhm2.uio.no/botanisk/bot-mus/lav/factshts/lethvulp.htm,"Threatened macroL proj: The species occurs in Europe, North Africa, Cyprus, the Caucasus, and western North America (Ahlner 1948, Gams 1955). The European distribution includes Fennoscandia and central Europe south to Spain and Italy (Schade 1954, Gams 1955). It avoids atlantic parts of Europe and is absent from the British Isles. Even though the species has a continental distribution in Scandinavia, the distribution shows an oceanic tendency at a world-wide scale. The species is particularly common in the Alps (Ahlner 1948). The Scandinavian distribution is mapped by Ahlner (1948). Letharia vulpina is extinct in Finland, and is not known from Denmark (cf. Alstrup & SËchting 1989). There are two centers of distribution in Sweden: one in northern Dalarne and southern H_rjedalen (adjacent to the Norwegian center), and one in southern Sweden where it is restricted to human-made habitats like fenceposts and old, unpainted wooden houses (Degelius 1946b, Ahlner 1948). The species is now almost extinct in the southern center (Ingel_g et al. 1984) ",N Am range has odd outlier pop in yukon that's not in gbif. but sample comes from europe - eurpopean range is actually really good according to ref.  Sp not listed in any of lichen checklists for canary islands (there are lots) so exclude that point,partial.range,"N.Am range missing outlier pop in Yukon, overall polygon in Europe = good minus Canary Is",,,,,-12,45,28,,AH,,Terrestrial,,,,,,,,,,,,-13.6,ctmin,,,,46.8,10.9,1950,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Letharia,vulpina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,129387,,,
plants,angiosperm,Leucadendron,argenteum,Leucadendron argenteum,,,,PlantZA,,"endemic to cape penninsula, S Africa",,excl.points,,,,,,17,21,,-32,AH,,Terrestrial,,,,,,,,,,,,-5.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Leucadendron,argenteum,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,299958,,,
plants,gymnosperm,Libocedrus,bidwillii,Libocedrus bidwillii,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=933,"NZ Endemic. North and South Islands. In the North from Te Moehau, Te Aroha and Mt Pirongia south.",,country.codes,,,NZ,,,160,180,-50,-30,AH,,Terrestrial,,,,,,,,,,,,-8.8,LT50,,0.0835,FF,-42.72,171.57,985,Cieraad et al 2012,1,,,W,Foliage   ,,Libocedrus,bidwillii,Plantae,Streptophyta,Pinidae,Cupressales,Cupressaceae,103974,subclass used,,
plants,angiosperm,Ligustrum,vulgare,Ligustrum vulgare,,,,Invasive spp compendium,http://www.cabi.org/isc/datasheet/30764,"L. vulgare is a shrub or small tree depending on climatic conditions, native to Europe, western Asia, and northern Africa. It has been introduced to many countries in different continents for ornamental use or for hedgerows. It is highly invasive,",missign N Africa,remove,missing S RL (N Africa),,,,,,,,,AH,,Terrestrial,,46.8,LT50,,30,0.7,,,,Bilger et al 1984,1,,,,,,,,,,,,,W,Foliage   ,,Ligustrum,vulgare,Plantae,Streptophyta,Pentapetalae,Lamiales,Oleaceae,13597,unranked level used,,
plants,lichen,Lobaria,pulmonaria,Lobaria pulmonaria,,,weird that scandanavian distribution is so good but missing from rest of Europe and N Am given how noticeable and well studied it is - coul dcheck gbif to see if seomthing odd happening in search,British Lichen Society,http://www.britishlichensociety.org.uk/resources/species-accounts/lobaria-pulmonaria,"sensitive to air polluntion, its population has declined across Europe and L. pulmonaria is considered endangered in many lowland areas","UK - Common in western and central Scotland in suitable habitats, even on planted and roadside trees. Much less common elsewhere but locally frequent to locally abundant in southern Scotland, northwest England, north and south Wales, occasional in Dorset and the New Forest, and very rare in Sussex, Kent, NE England and the West Midlands.  Scarce in Ireland except in the southwest. Widespread in oceanic and montane Europe but now extinct in the lowland plains of central Europe and most of lowland France except near the Atlantic coast. Still present in the lowlands of western Denmark and Schleswig. In montane areas of Europe it occurs on Abies as well as on broad-leaved trees. Also in Macaronesia, north and south Africa, North America, and Asia",remove,"missing most of range (incl UK, central Europe, N Africa)",,,,,,,,,AH,,Terrestrial,,46.7,t50,,,,58.6,8.1,340,Gauslaa and Solhaug 1999,,-22.8,LT50,,,,51,6.8,50,Rôtten & Santarius 1992,1,,,W,50% irreversible inactivation of the net photosynthetic capacity of the plants    ,,Lobaria,pulmonaria,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,86794,,,
plants,angiosperm,Lomatia,tinctoria,Lomatia tinctoria,,,,Tasmania gov pdf fact sheet,dpipwe.tas.gov.au/Documents/Lomatia-tinctoria-Notesheet.pdf,endemic to tasmania,excl points outside tasmania & islands btwn Tas & Oz,excl.points,,,,,,,,,-39,AH,,Terrestrial,,,,,,,,,,,,-11.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Lomatia,tinctoria,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,1441049,,,
plants,angiosperm,Lonicera,hispidula,Lonicera hispidula,,,,US Forest Service,http://www.fs.fed.us/database/feis/plants/vine/lonhis/all.html#GENERAL%20INFORMATION%20ON%20DISTRIBUTION,"In September of 2006 an extensive search was done to locate information on pink honeysuckle with little success (see FEIS's list of source literature). The following paragraphs provide details of what information was available. Pink honeysuckle is found in western North America, from British Columbia south to California [14,15,16,23]. It is more prevalent in coastal regions than interior regions [18]. Plants Database provides a distributional map of pink honeysuckle and its infrataxa. ",none!,fine,,,,,,,,,,AH,,Terrestrial,,58.3,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Lonicera,hispidula,Plantae,Streptophyta,Pentapetalae,Dipsacales,Caprifoliaceae,486673,unranked level used,,
plants,angiosperm,Lophomyrtus,bullata,Lophomyrtus bullata,,,check sampling location - its outside spp range,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1388,Endemic. North and South Islands. Scarce in the South Island where it ranges to about North Canterbury and Greymouth,"gbif range is good, but sampling point is outside it",country.codes,,,NZ,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-7.5,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Lophomyrtus,bullata,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,375237,used unranked level Pentapetalae,,
plants,angiosperm,Luma,apiculata,Luma apiculata,,,,SanFran Bot garden,http://www.sfbotanicalgarden.org/garden/bloom_08_09.shtml,"Chile and western Argentina, incl national park in Argentina on Lake Nahuel Huapi .  Tree in Patagonia (book) pg13: Argentina: CHU, NE, RN; Chile prov of Valparaiso to Prov of Aisen (regions V-XI)",top point in chile is just beyond prov of valparaiso but I'd keep it in.,country.codes,,,CL;AR,,,,-69,,,AH,,Terrestrial,,,,,,,,,,,,-8.6,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Luma,apiculata,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,260135,,,
plants,moss,Lycopodium,fastigiatum,Lycopodium fastigiatum,,,,New Zealand Plant Conservation Network; Flora of Autralia online,http://www.nzpcn.org.nz/flora_details.aspx?ID=2194,"Indigenous to New Zealand: North, South, Stewart, Chatham, Antipodes, Campbell and Auckland Islands (from Te Moehau and Mt Pirongia south). Also Australia.  FoA: from south-eastern N.S.W. through eastern Vic. to Tas. In N.S.W. there is one disjunct record from Barrington Tops; also New Zealand, Chatham Is. and Subantarctic islands. Restricted to alpine or subalpine grasslands, shrublands and herbfields; to an altitude of 800 m",excl points in central & N Australia,country.codes,,,NZ;AU,,,144,,,-30,AH,,Terrestrial,,,,,,,,,,,,-12.6,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Lycopodium,fastigiatum,Plantae,Streptophyta,Lycopodiidae,Lycopodiales,Lycopodiaceae,73628,,,
