"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","species","source"
"Phymaturus.tenebrosus_GBIF",0,2,856,0,0,55,34668,0,"Phymaturus tenebrosus","GBIF"
"Phymaturus.zapalensis_IUCN",0,4,886,0,0,104,34554,0,"Phymaturus zapalensis","IUCN"
"Phymaturus.zapalensis_GBIF",0,3,886,0,0,78,34554,0,"Phymaturus zapalensis","GBIF"
"Platysaurus.intermedius_IUCN",0,1,725,104,0,10.5,15587.5,1196,"Platysaurus intermedius","IUCN"
"Plestiodon.chinensis_IUCN",0,224,1958,109,0,4592,53845,599.5,"Plestiodon chinensis","IUCN"
"Plestiodon.elegans_IUCN",0,335,1686,0,0,8877.5,51423,0,"Plestiodon elegans","IUCN"
"Plestiodon.gilberti_IUCN",0,45,496,0,0,1080,17112,0,"Plestiodon gilberti","IUCN"
"Podarcis.muralis_IUCN",0,311,2425,0,0,10729.5,105487.5,0,"Podarcis muralis","IUCN"
"Poeciliopsis.occidentalis_GBIF",0,22,535,12,0,385,16050,36,"Poeciliopsis occidentalis","GBIF"
"Prinerigone.vagans_GBIF",0,1,1685,53,0,23,86777.5,556.5,"Prinerigone vagans","GBIF"
"Protobothrops.mucrosquamatus_IUCN",0,283,1032,88,0,6226,28896,528,"Protobothrops mucrosquamatus","IUCN"
"Psammodromus.algirus_IUCN",0,87,2240,0,0,1827,72800,0,"Psammodromus algirus","IUCN"
"Psammodromus.hispanicus_IUCN",0,77,2176,0,0,2194.5,87040,0,"Psammodromus hispanicus","IUCN"
"Pseudacris.cadaverina_IUCN",0,2,627,93,0,27,20064,1023,"Pseudacris cadaverina","IUCN"
"Pseudacris.regilla_IUCN",0,200,654,0,0,6800,25179,0,"Pseudacris regilla","IUCN"
"Pseudemoia.entrecasteauxii_IUCN",0,65,802,0,0,1592.5,29674,0,"Pseudemoia entrecasteauxii","IUCN"
"Pseudemoia.entrecasteauxii_GBIF",0,68,765,0,0,1666,27922.5,0,"Pseudemoia entrecasteauxii","GBIF"
"Pseudemoia.spenceri_IUCN",0,26,838,4,0,533,30168,4,"Pseudemoia spenceri","IUCN"
"Pseudemoia.spenceri_GBIF",0,35,827,10,0,682.5,28945,20,"Pseudemoia spenceri","GBIF"
"Pseudonaja.textilis_IUCN",0,64,335,207,0,1344,8375,1863,"Pseudonaja textilis","IUCN"
"Rana.cascadae_IUCN",0,35,478,0,0,945,20793,0,"Rana cascadae","IUCN"
"Rana.pretiosa_IUCN",0,22,573,0,0,616,25785,0,"Rana pretiosa","IUCN"
"Rankinia.diemensis_IUCN",0,55,814,0,0,1402.5,29711,0,"Rankinia diemensis","IUCN"
"Sceloporus.graciosus_IUCN",0,229,460,0,0,7671.5,18400,0,"Sceloporus graciosus","IUCN"
"Sceloporus.malachiticus_IUCN",0,0,283,144,0,0,3254.5,2520,"Sceloporus malachiticus","IUCN"
