"longitude","latitude","seasonal_high_temp"
-176.5,-60.5,-Inf
-176.5,-59.5,-Inf
-176.5,-58.5,-Inf
-176.5,-57.5,-Inf
-176.5,-56.5,-Inf
-176.5,-55.5,-Inf
-176.5,-54.5,-Inf
-176.5,-53.5,-Inf
-176.5,-52.5,-Inf
-176.5,-51.5,-Inf
-176.5,-50.5,-Inf
-176.5,-49.5,-Inf
-176.5,-48.5,-Inf
-176.5,-47.5,-Inf
-176.5,-46.5,-Inf
-176.5,-45.5,-Inf
-176.5,-44.5,-Inf
-176.5,-43.5,20.1921061890466
-176.5,-42.5,-Inf
-176.5,-41.5,-Inf
-176.5,-40.5,-Inf
-176.5,-39.5,-Inf
-176.5,-38.5,-Inf
-176.5,-37.5,-Inf
-176.5,-36.5,-Inf
-176.5,-35.5,-Inf
-176.5,-34.5,-Inf
-176.5,-33.5,-Inf
-176.5,-32.5,-Inf
-176.5,-31.5,-Inf
-176.5,-30.5,-Inf
-176.5,-29.5,-Inf
-176.5,-28.5,-Inf
-176.5,-27.5,-Inf
-176.5,-26.5,-Inf
-176.5,-25.5,-Inf
-176.5,-24.5,-Inf
-176.5,-23.5,-Inf
-176.5,-22.5,-Inf
-176.5,-21.5,-Inf
-176.5,-20.5,-Inf
-176.5,-19.5,-Inf
-176.5,-18.5,-Inf
-176.5,-17.5,-Inf
-176.5,-16.5,-Inf
-176.5,-15.5,-Inf
-176.5,-14.5,-Inf
-176.5,-13.5,-Inf
-176.5,-12.5,-Inf
-176.5,-11.5,-Inf
-176.5,-10.5,-Inf
-176.5,-9.5,-Inf
-176.5,-8.5,-Inf
-176.5,-7.5,-Inf
-176.5,-6.5,-Inf
-176.5,-5.5,-Inf
-176.5,-4.5,-Inf
-176.5,-3.5,-Inf
-176.5,-2.5,-Inf
-176.5,-1.5,-Inf
-176.5,-0.5,-Inf
-176.5,0.5,-Inf
-176.5,1.5,-Inf
-176.5,2.5,-Inf
-176.5,3.5,-Inf
-176.5,4.5,-Inf
-176.5,5.5,-Inf
-176.5,6.5,-Inf
-176.5,7.5,-Inf
-176.5,8.5,-Inf
-176.5,9.5,-Inf
-176.5,10.5,-Inf
-176.5,11.5,-Inf
-176.5,12.5,-Inf
-176.5,13.5,-Inf
-176.5,14.5,-Inf
-176.5,15.5,-Inf
-176.5,16.5,-Inf
-176.5,17.5,-Inf
-176.5,18.5,-Inf
-176.5,19.5,-Inf
-176.5,20.5,-Inf
-176.5,21.5,-Inf
-176.5,22.5,-Inf
-176.5,23.5,-Inf
-176.5,24.5,-Inf
-176.5,25.5,-Inf
-176.5,26.5,-Inf
-176.5,27.5,-Inf
-176.5,28.5,-Inf
-176.5,29.5,-Inf
-176.5,30.5,-Inf
-176.5,31.5,-Inf
-176.5,32.5,-Inf
-176.5,33.5,-Inf
-176.5,34.5,-Inf
-176.5,35.5,-Inf
-176.5,36.5,-Inf
-176.5,37.5,-Inf
-176.5,38.5,-Inf
-176.5,39.5,-Inf
-176.5,40.5,-Inf
-176.5,41.5,-Inf
-176.5,42.5,-Inf
-176.5,43.5,-Inf
-176.5,44.5,-Inf
-176.5,45.5,-Inf
-176.5,46.5,-Inf
-176.5,47.5,-Inf
-176.5,48.5,-Inf
-176.5,49.5,-Inf
-176.5,50.5,-Inf
-176.5,51.5,13.5556903533638
-176.5,52.5,-Inf
-176.5,53.5,-Inf
-176.5,54.5,-Inf
-176.5,55.5,-Inf
-176.5,56.5,-Inf
-176.5,57.5,-Inf
-176.5,58.5,-Inf
-176.5,59.5,-Inf
-176.5,60.5,-Inf
-176.5,61.5,-Inf
-176.5,62.5,-Inf
-176.5,63.5,-Inf
-176.5,64.5,-Inf
-176.5,65.5,14.0097271225881
-176.5,66.5,15.6045378488622
-176.5,67.5,15.3106543876098
-176.5,68.5,-Inf
-176.5,69.5,-Inf
-176.5,70.5,-Inf
-176.5,71.5,-Inf
-176.5,72.5,-Inf
-176.5,73.5,-Inf
-176.5,74.5,-Inf
-176.5,75.5,-Inf
-176.5,76.5,-Inf
-176.5,77.5,-Inf
-176.5,78.5,-Inf
-176.5,79.5,-Inf
-176.5,80.5,-Inf
-176.5,81.5,-Inf
-176.5,82.5,-Inf
-176.5,83.5,-Inf
-176.5,84.5,-Inf
-176.5,85.5,-Inf
-176.5,86.5,-Inf
-176.5,87.5,-Inf
-176.5,88.5,-Inf
-176.5,89.5,-Inf
-175.5,-89.5,-22.9057090775243
-175.5,-88.5,-25.0203972752605
-175.5,-87.5,-23.8743793747964
-175.5,-86.5,-21.7742208319406
-175.5,-85.5,-15.7190762024018
-175.5,-84.5,-4.5918630665523
-175.5,-83.5,-2.63738299970116
-175.5,-82.5,-3.66936995795085
-175.5,-81.5,-4.35074720534363
-175.5,-80.5,-4.61953422200112
-175.5,-79.5,-4.44408137509156
-175.5,-78.5,-3.19852247482964
-175.5,-77.5,-Inf
-175.5,-76.5,-Inf
-175.5,-75.5,-Inf
-175.5,-74.5,-Inf
-175.5,-73.5,-Inf
-175.5,-72.5,-Inf
-175.5,-71.5,-Inf
-175.5,-70.5,-Inf
-175.5,-69.5,-Inf
-175.5,-68.5,-Inf
-175.5,-67.5,-Inf
-175.5,-66.5,-Inf
-175.5,-65.5,-Inf
-175.5,-64.5,-Inf
-175.5,-63.5,-Inf
-175.5,-62.5,-Inf
-175.5,-61.5,-Inf
-175.5,-60.5,-Inf
-175.5,-59.5,-Inf
-175.5,-58.5,-Inf
-175.5,-57.5,-Inf
-175.5,-56.5,-Inf
-175.5,-55.5,-Inf
-175.5,-54.5,-Inf
-175.5,-53.5,-Inf
-175.5,-52.5,-Inf
-175.5,-51.5,-Inf
-175.5,-50.5,-Inf
-175.5,-49.5,-Inf
-175.5,-48.5,-Inf
-175.5,-47.5,-Inf
-175.5,-46.5,-Inf
-175.5,-45.5,-Inf
-175.5,-44.5,-Inf
-175.5,-43.5,-Inf
-175.5,-42.5,-Inf
-175.5,-41.5,-Inf
-175.5,-40.5,-Inf
-175.5,-39.5,-Inf
-175.5,-38.5,-Inf
-175.5,-37.5,-Inf
-175.5,-36.5,-Inf
-175.5,-35.5,-Inf
-175.5,-34.5,-Inf
-175.5,-33.5,-Inf
-175.5,-32.5,-Inf
-175.5,-31.5,-Inf
-175.5,-30.5,-Inf
-175.5,-29.5,-Inf
-175.5,-28.5,-Inf
-175.5,-27.5,-Inf
-175.5,-26.5,-Inf
-175.5,-25.5,-Inf
-175.5,-24.5,-Inf
-175.5,-23.5,-Inf
-175.5,-22.5,-Inf
-175.5,-21.5,-Inf
-175.5,-20.5,-Inf
-175.5,-19.5,-Inf
-175.5,-18.5,-Inf
-175.5,-17.5,-Inf
-175.5,-16.5,-Inf
-175.5,-15.5,-Inf
-175.5,-14.5,-Inf
-175.5,-13.5,-Inf
-175.5,-12.5,-Inf
-175.5,-11.5,-Inf
-175.5,-10.5,-Inf
-175.5,-9.5,-Inf
-175.5,-8.5,-Inf
-175.5,-7.5,-Inf
-175.5,-6.5,-Inf
-175.5,-5.5,-Inf
-175.5,-4.5,-Inf
-175.5,-3.5,-Inf
-175.5,-2.5,-Inf
-175.5,-1.5,-Inf
-175.5,-0.5,-Inf
-175.5,0.5,-Inf
-175.5,1.5,-Inf
-175.5,2.5,-Inf
-175.5,3.5,-Inf
-175.5,4.5,-Inf
-175.5,5.5,-Inf
-175.5,6.5,-Inf
-175.5,7.5,-Inf
-175.5,8.5,-Inf
-175.5,9.5,-Inf
-175.5,10.5,-Inf
-175.5,11.5,-Inf
-175.5,12.5,-Inf
-175.5,13.5,-Inf
-175.5,14.5,-Inf
-175.5,15.5,-Inf
-175.5,16.5,-Inf
-175.5,17.5,-Inf
-175.5,18.5,-Inf
-175.5,19.5,-Inf
-175.5,20.5,-Inf
-175.5,21.5,-Inf
-175.5,22.5,-Inf
-175.5,23.5,-Inf
-175.5,24.5,-Inf
-175.5,25.5,-Inf
-175.5,26.5,-Inf
-175.5,27.5,-Inf
-175.5,28.5,-Inf
-175.5,29.5,-Inf
-175.5,30.5,-Inf
-175.5,31.5,-Inf
-175.5,32.5,-Inf
-175.5,33.5,-Inf
-175.5,34.5,-Inf
-175.5,35.5,-Inf
-175.5,36.5,-Inf
-175.5,37.5,-Inf
-175.5,38.5,-Inf
-175.5,39.5,-Inf
-175.5,40.5,-Inf
-175.5,41.5,-Inf
-175.5,42.5,-Inf
-175.5,43.5,-Inf
-175.5,44.5,-Inf
-175.5,45.5,-Inf
-175.5,46.5,-Inf
-175.5,47.5,-Inf
-175.5,48.5,-Inf
-175.5,49.5,-Inf
-175.5,50.5,-Inf
-175.5,51.5,-Inf
-175.5,52.5,-Inf
-175.5,53.5,-Inf
-175.5,54.5,-Inf
-175.5,55.5,-Inf
-175.5,56.5,-Inf
-175.5,57.5,-Inf
-175.5,58.5,-Inf
